run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids,narrow_landing_evaluated,narrow_landing_contact_width_px,narrow_landing_contact_source,narrow_landing_contact_offset_px,narrow_landing_angular_before,narrow_landing_angular_delta,narrow_landing_angular_after,narrow_landing_width_condition,narrow_landing_offset_condition,narrow_landing_delta_condition,narrow_landing_correction,narrow_landing_correction_applied,narrow_landing_correction_latched,narrow_landing_contact_width_latched_px,narrow_landing_contact_source_latched,narrow_landing_contact_offset_latched_px,narrow_landing_angular_before_latched,narrow_landing_angular_delta_latched,narrow_landing_angular_after_latched,narrow_landing_width_condition_latched,narrow_landing_offset_condition_latched,narrow_landing_delta_condition_latched,narrow_landing_correction_applied_latched,first_ground_contact_substep,first_ground_contact_vx_before,first_ground_contact_vx_after,first_ground_contact_delta_vx,first_ground_contact_vy_before,first_ground_contact_vy_after,first_ground_contact_delta_vy,first_ground_contact_angular_before,first_ground_contact_angular_after,first_ground_contact_delta_angular,first_ground_contact_delta_x,first_ground_contact_delta_y,first_ground_contact_width_px,first_ground_contact_offset_px,first_ground_contact_source,max_ground_delta_vx,max_ground_delta_vx_before,max_ground_delta_vx_after,max_ground_delta_vy,max_ground_delta_angular,max_ground_delta_vx_substep,max_ground_delta_vx_contact_width_px,max_ground_delta_vx_contact_offset_px,max_ground_delta_vx_contact_source
1,1,complete,120,59,60,4.348,1775.255,7.415,3,4,2,0,0,10.85882,0,0,0,0,0.47909,-10.95566,-0.035276,1.68275,1.92214,0.072457,37.071,17.571000000000026,0.965291,0.4379999999999882,,0,1,88,176,88,91,83,-2.287,0.713,1.570796,-0.787489,87;87;90;90,0.713:47.373;-2.287:47.373;-0.287:48.373;-1.287:48.373,0.712511;-2.287489;-0.287489;-1.287489,1,,1,1.391,geometry-edge,34.993,-0.053983,-0.000752,-0.054735,1,1,0,0.000000,0,,,,,,,,0,0,0,0,240,0.000000,0.479087,0.479087,10.946382,-0.096836,-11.043217,0.000000,-0.035276,-0.035276,0.000000,2.185867,3.000,0.787,geometry-edge,0.887442,0.000000,0.887442,-0.075758,-0.083639,241,1.009,0.358,geometry-edge
1,2,complete,120,59,60,4.144,971.803,3.723,6,2,1,-0.016121,0,10.93447,0,0,0,0,0.94695,-11.223,-0.145566,1.00062,2.57229,0.156291,10.824999999999989,16.685000000000002,2.015705,0.15999999999996817,,0,1,83,166,83,90,76,-1.874,1.125,1.570796,-0.374357,175;175,-1.874:44.647;1.125:44.599,-1.874162;1.125448,1,,1,39.809,geometry-edge,6.855,-0.000096,-0.000452,-0.000547,0,1,0,0.000000,0,,,,,,,,0,0,0,0,239,0.000000,0.509844,0.509844,10.992378,-0.210379,-11.202757,0.000000,-0.063461,-0.063461,0.000000,1.488016,6.000,0.594,geometry-edge,1.011502,0.000000,1.011502,-0.220820,-0.157992,241,3.047,1.153,geometry-edge
1,3,complete,121,60,60,6.218,2680.781,8.535,8,8,4,0,0,11.02963,0,0.06482,0,0,0.06482,-11.40617,-0.063175,0.38812,0.4879,0.027483,1.122000000000014,1.8319999999999936,0.066892,1.8319999999999936,,0,1,89,178,89,93,68,-39.688,20.312,1.570796,-9.688163,263;263;264;264;265;265;266;266,-33.688:31.303;-39.688:31.303;20.312:31.303;11.312:31.303;19.312:32.303;11.312:32.303;19.312:33.303;12.312:33.303,-33.688163;-39.688163;20.311837;11.311837;19.311837;11.311837;19.311837;12.311837,1,,1,59.072,geometry-edge,8.965,0.000000,0.000000,0.000000,0,1,0,0.000000,0,0.243756,6.050,geometry-edge,34.734,-0.027273,0.022569,-0.010205,1,1,1,1,244,0.000000,0.064825,0.064825,11.110214,-0.376550,-11.486764,0.000000,-0.063175,-0.063175,0.000000,1.922871,60.000,9.688,geometry-edge,-0.291010,0.064825,-0.226185,-0.304276,-0.040489,245,8.031,15.828,geometry-edge
1,4,complete,120,59,60,2.636,378.793,10.821,9,1,1,0.013557,0,10.95496,0,0,0.00032,0.013117,0.3902,-10.95464,0.013117,1.71745,2.42498,0.066692,40.43900000000002,22.864999999999952,1.094156,0,,0,1,54,108,54,54,62,-0.054,-0.054,1.570796,-0.053871,322,-0.054:44.999,-0.053871,1,,1,64.411,geometry-edge,5.846,0.000000,-0.000000,-0.000000,0,1,0,0.000000,0,,,,,,,,0,0,0,0,238,0.000000,0.306699,0.306699,10.983890,-0.048276,-11.032166,0.000000,0.040285,0.040285,0.000000,1.928531,9.000,2.944,geometry-edge,0.388596,0.000000,0.388596,0.001025,0.000106,241,5.016,2.686,geometry-edge
1,5,complete,132,71,60,4.202,918.333,0.519,9,1,1,-2.07217,-0.57882,2.48075,-0.149578,0.21236,0.68844,0.027852,0.79118,-1.79231,0.17743,0.59458,0.82182,0.03091,2.1880000000000166,2.1829999999999927,0.10258399999999979,0,,0,1,84,168,84,91,85,-24.868,-24.868,1.570796,-24.868021,333,-24.868:24.037,-24.868021,1,,1,40.309,geometry-edge,6.589,-0.000000,0.000000,-0.000000,0,1,0,0.000000,0,0.074191,5.000,geometry-edge,7.374,0.000000,-0.278986,-0.258288,1,1,1,1,239,0.000000,-0.126928,-0.126928,11.019471,1.399163,-9.620307,0.000000,-0.258288,-0.258288,0.000000,2.313816,5.000,7.374,geometry-edge,-0.352574,-0.302505,-0.655079,0.069693,0.059195,251,2.875,4.135,geometry-edge
1,6,complete,127,66,60,4.956,1754.612,4.805,35,1,1,-0.248051,-0.51398,0.7088,-0.030875,-0.54659,-0.06333,-0.010518,-0.03261,-0.77212,0.020358,1.51294,1.29684,0.046687,40.684,10.990000000000009,0.9927600000000001,0.2960000000000491,,0,1,63,126,63,66,67,-5.162,-5.162,1.570796,-5.162293,473,-5.162:45.105,-5.162293,1,,1,0.946,geometry-edge,4.080,-0.042285,0.000822,-0.041462,1,0,0,0.000000,0,0.023025,0.246,geometry-edge,5.285,-0.030522,0.020476,-0.010518,1,1,1,1,238,0.000000,-0.319267,-0.319267,11.016121,-1.112812,-12.128933,0.000000,-0.063784,-0.063784,0.000000,1.485164,35.000,0.422,geometry-edge,-0.319267,0.000000,-0.319267,-12.128933,-0.063784,238,35.000,0.422,geometry-edge
1,7,complete,120,59,60,4.74,1831.832,2.853,4,2,1,0,0,10.90023,0,0.11035,3.11586,0,0.11035,-7.78437,0.125233,1.329,3.11586,0.032422,14.402999999999992,4.935000000000002,0.363966,0,,0,1,102,204,102,107,84,-14.103,-12.103,1.570796,-13.102954,577;577,-12.103:43.789;-14.103:43.789,-12.102954;-14.102954,1,,1,42.718,geometry-edge,4.067,0.000041,0.000060,0.000101,0,0,0,0.000000,0,0.506435,2.000,geometry-edge,13.103,0.000000,0.253731,0.125233,1,1,1,1,240,0.000000,0.110352,0.110352,10.987317,3.115862,-7.871455,0.000000,0.125233,0.125233,0.000000,2.297686,2.000,13.103,geometry-edge,0.893258,0.110352,1.003610,-0.104062,0.011613,245,2.082,16.946,geometry-edge
1,8,complete,120,59,60,5.508,2566.696,2.475,5,4,2,0.048869,0,10.97541,0,0,5.16312,0,0.36577,-5.81229,0.208396,1.07507,5.16312,0.039244,20.521000000000015,11.550999999999988,0.685143,0,,0,1,68,136,68,69,57,-29.398,-24.404,1.570796,-26.901344,646;646;647;647,-24.404:39.041;-29.398:38.797;-26.451:39.943;-28.448:39.845,-24.404329;-29.398359;-26.450790;-28.448403,1,,1,33.615,geometry-edge,23.387,0.000594,0.000347,0.000941,0,1,0,0.000000,0,0.250000,6.000,geometry-edge,24.468,0.000000,0.256504,0.192378,1,1,1,1,239,0.000000,0.225126,0.225126,11.033001,5.662359,-5.370642,0.000000,0.192378,0.192378,0.000000,1.438141,6.000,24.468,geometry-edge,1.905435,0.000000,1.905435,0.021756,0.019130,249,2.184,34.642,geometry-edge
1,9,complete,120,59,60,5.038,2670.843,2.201,5,2,1,0,0,10.92079,0,0.04791,7.13542,0,0.04791,-3.78537,0.086793,1.71485,7.13542,0.058281,25.03,13.302999999999997,0.898165,0,,0,1,78,156,78,82,79,-33.675,-30.675,1.570796,-32.174672,727;727,-30.675:42.230;-33.675:42.230,-30.674672;-33.674672,1,,1,34.112,geometry-edge,3.021,-0.000000,0.000000,-0.000000,0,0,0,0.000000,0,0.625000,3.000,geometry-edge,32.175,0.000000,0.231449,0.086793,1,1,1,1,240,0.000000,0.047906,0.047906,11.002549,7.135423,-3.867126,0.000000,0.086793,0.086793,0.000000,2.375413,3.000,32.175,geometry-edge,1.831521,0.047906,1.879428,0.026669,0.034279,253,0.264,9.810,geometry-edge
1,10,complete,121,60,60,6.51,5147.624,3.157,50,2,1,0.001331,0,11.07002,0,0,0,0,2.31928,-11.95812,-0.045422,2.284,0.64795,0.044731,20.772999999999996,2.6709999999999923,0.20385199999999998,2.141999999999996,,0,1,97,194,97,102,84,19.131,27.131,1.570796,23.131031,826;826,27.131:34.884;19.131:34.874,27.131027;19.131034,1,,1,48.035,geometry-edge,4.019,-0.000000,0.000000,-0.000000,0,0,0,0.000000,0,,,,,,,,0,0,0,0,242,0.000000,0.788283,0.788283,11.096834,-1.028588,-12.125422,0.000000,0.022440,0.022440,0.000000,1.664335,52.000,4.177,geometry-edge,0.888485,0.788283,1.676769,0.070370,-0.039316,243,13.005,22.498,geometry-edge
